Environment Canada
Monthly Values for April - 1999

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"ESTEVAN POINT","49.384","-126.551","BC","7.4","0","-0.9","17.5","0","0.5","0","0.0","0","0.0","208.0","0","76.0","0.0","15","190.4",".58333333333333333333333333333333333333",NA,"319.2","0.0","1032730"
"ESTEVAN POINT CS","49.384","-126.551","BC","7.8","0",NA,"18.5","0","0.3","0","0.0","0",NA,"187.0","0",NA,"","15","",,NA,"305.0","0.0","1032731"
"GOLD RIVER TOWNSITE","49.783","-126.048","BC","7.4","0","-1.0","24.0","0","-3.0","0","0.0","0","0.0","89.2","0","48.0","0.0","14","","",NA,"317.1","0.0","1033232"
"HENDERSON LAKE HATCHERY","49.133","-125.142","BC","6.9","0",NA,"21.0","0","-2.0","0","0.0","0",NA,"261.3","0",NA,"0.0","15","","",NA,"333.5","0.0","1033456"
"LENNARD ISLAND","49.111","-125.923","BC","",,NA,"",,"",,"0.0","0","0.0","179.6","0","68.0","0.0","14","","",NA,"","","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.656","BC","7.6","0","-1.0","24.5","0","-2.5","0","0.0","0","0.0","106.8","0","43.0","0.0","12","","",NA,"311.7","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","8.1","0","-0.7","23.0","0","1.0","0","0.0","0","0.0","196.0","0","74.0","0.0","17","","",NA,"298.1","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","6.2","1","-2.0","19.0","0","-1.5","1","0.0","0","0.0","170.9","0","75.0","0.0","16","","",NA,"341.4","0.0","1035940"
"PORT ALBERNI COX LAKE","49.201","-124.756","BC","7.4","0","-1.5","23.0","0","-3.0","0","0.0","0","0.0","48.9","0","34.0","0.0","10","","",NA,"318.2","0.0","1036208"
"PORT ALBERNI SHUHUM CREEK","49.300","-124.933","BC","7.8","1",NA,"23.0","1","-3.5","1","0.0","0",NA,"46.0","0",NA,"0.0","11","","",NA,"296.5","0.0","1036218"
"PORT ALICE","50.386","-127.453","BC","7.4","0","-0.8","19.5","0","0.0","0","0.8","0","157.0","146.0","0","57.0","0.0","16","","",NA,"317.5","0.0","1036240"
"QUATSINO","50.533","-127.650","BC","7.5","0","-0.8","21.0","0","-1.0","0","0.0","0","0.0","130.8","0","74.0","0.0","14","","",NA,"316.1","0.0","1036570"
"QUATSINO LIGHTSTATION","50.441","-128.033","BC","7.0","0","-1.2","22.0","0","-1.0","0","0.0","0","0.0","190.3","0","93.0","0.0","19","","",NA,"329.1","0.0","1036572"
"PORT ALBERNI (AUT)","49.317","-124.926","BC","7.4","0",NA,"22.0","0","-3.0","0","",,NA,"30.0","1",NA,"","6","",,NA,"317.8","0.0","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","6.5","0",NA,"18.5","0","1.4","0","",,NA,"130.6","0",NA,"","16","",,NA,"344.6","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.939","BC","6.3","0",NA,"18.7","0","1.5","0","",,NA,"72.0","0",NA,"","15","",,NA,"350.1","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.933","-126.650","BC","7.5","11",NA,"24.0","9","-2.0","11","0.0","0","0.0","171.8","0","63.0","0.0","12","","",NA,"198.9","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","6.9","0","-1.1","21.0","0","-1.5","0","0.0","0","0.0","165.0","0","61.0","0.0","13","213.9","0","126.0","333.2","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.528","BC","7.0","0","-1.3","22.5","0","-2.0","0","0.0","0","0.0","174.3","0","65.0","0.0","14","","",NA,"328.7","0.0","1038332"
"NITINAT LAKE (AUT)","48.667","-124.833","BC","7.5","0",NA,"19.7","0","0.2","0","",,NA,"107.2","0",NA,"","14","",,NA,"314.3","0.0","103EFJ0"
"BOWEN ISLAND BOWEN BAY","49.365","-123.421","BC","",,NA,"",,"",,"0.0","0",NA,"59.8","0",NA,"0.0","9","","",NA,"","","104090R"
"BOWEN ISLAND CATES BAY","49.412","-123.315","BC","",,NA,"",,"",,"0.0","0",NA,"91.8","0",NA,"0.0","12","","",NA,"","","1040911"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"0.0","0",NA,"88.2","0",NA,"0.0","8","","",NA,"","","104091B"
"BOWEN ISLAND MILLERS LDG","49.392","-123.328","BC","9.5","0",NA,"21.5","0","2.0","0","0.0","0",NA,"79.0","0",NA,"0.0","10","","",NA,"254.7","0.0","1040R09"
"BRITANNIA BEACH FURRY CR","49.584","-123.224","BC","9.8","1",NA,"22.0","0","1.5","1","0.0","0",NA,"76.5","0",NA,"0.0","12","","",NA,"237.9","0.0","1041050"
"GAMBIER HARBOUR","49.443","-123.433","BC","",,NA,"",,"",,"0.0","0","0.0","70.6","0","51.0","0.0","10","","",NA,"","","1043048"
"GIBSONS GOWER POINT","49.386","-123.541","BC","9.1","0","-0.5","18.0","0","1.0","0","0.0","0","0.0","51.6","0","54.0","0.0","9","","",NA,"268.0","0.0","1043152"
"LOIS RIVER DAM","49.795","-124.318","BC","",,NA,"",,"",,"0.0","0",NA,"77.9","0","69.0","0.0","9","","",NA,"","","1044710"
"MALIBU JERVIS INLET","50.165","-123.853","BC","8.8","0","-0.5","19.5","0","1.5","0","0.0","0","0.0","116.9","0","65.0","0.0","11","","",NA,"274.9","0.0","1044840"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","8.8","0","-0.9","16.5","0","2.9","0","0.0","0","0.0","48.2","0","69.0","0.0","8","241.4","0","134.0","275.1","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.298","BC","10.1","0",NA,"21.2","0","3.3","0","",,NA,"65.4","0",NA,"","8","",,NA,"236.4","0.0","10459NN"
"POWELL RIVER","49.876","-124.554","BC","8.7","0","-0.9","19.5","0","1.0","0","0.0","0",NA,"58.3","0","82.0","0.0","10","","",NA,"279.4","0.0","1046390"
"POWELL RIVER A","49.834","-124.500","BC","7.5","0","-1.1","19.0","0","-1.8","0","0.0","0","0.0","56.4","0","68.0","0.0","10","227.2","0","128.0","316.2","0.0","1046391"
"SECHELT 5WEST","49.474","-123.806","BC","7.3","0",NA,"18.0","0","-2.0","0","0.0","0",NA,"47.0","0",NA,"0.0","7","","",NA,"320.9","0.0","1047179"
"SQUAMISH STP CENTRAL","49.698","-123.160","BC","9.2","0","-0.7","24.5","0","-1.0","0","0.0","0","0.0","66.0","0","43.0","0.0","10","","",NA,"264.5","0.0","1047671"
"SQUAMISH UPPER","49.896","-123.281","BC","9.1","0","0.0","25.0","0","-2.5","0","0.0","0","0.0","76.9","0","49.0","0.0","11","","",NA,"268.2","0.0","1047672"
"SQUAMISH","49.783","-123.167","BC","8.7","0",NA,"25.0","0","-1.9","0","0.0","0",NA,"57.6","0",NA,"","9","",,NA,"279.2","0.0","10476F0"
"STILLWATER POWER HOUSE","49.767","-124.317","BC","",,NA,"",,"",,"0.0","0",NA,"73.2","0","74.0","0.0","9","","",NA,"","","1047770"
"WHISTLER","50.129","-122.955","BC","5.4","0","-0.7","20.9","0","-7.4","0","4.4","0","28.0","32.6","0","43.0","0.0","8","216.1","0","133.0","378.4","0.0","1048898"
"WOODFIBRE","49.581","-123.889","BC","8.2","12",NA,"20.5","9","0.0","9","0.0","0","0.0","106.3","0","57.0","0.0","10","","",NA,"177.0","0.0","1048974"
"CAPE ST JAMES CS","51.936","-131.016","BC","5.6","19",NA,"10.2","19","-0.1","5","",,NA,"43.4","23",NA,"","6","",,NA,"136.6","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","6.1","0",NA,"16.9","0","0.9","0","",,NA,"128.4","0",NA,"","19","",,NA,"356.9","0.0","1054222"
"LANGARA","54.255","-133.058","BC","5.7","0","-0.6","14.1","0","-0.5","0","9.8","0","305.0","150.6","0","108.0","0.0","22","",,NA,"367.9","0.0","1054500"
"LANGARA ISLAND CS","54.250","-133.050","BC","6.1","0",NA,"14.5","0","0.3","0","",,NA,"131.2","0",NA,"","20","",,NA,"356.5","0.0","1054503"
"MORESBY ISLAND MITCHELL INLET","52.935","-132.129","BC","",,NA,"",,"-1.0","0","3.0","0",NA,"395.0","0",NA,"0.0","25","85.2","0",NA,"","","10551R8"
"ROSE SPIT (AUT)","54.152","-131.652","BC","6.1","0",NA,"11.5","0","0.6","0","",,NA,"103.0","1",NA,"","19","",,NA,"357.0","0.0","1056869"
"SANDSPIT A","53.254","-131.813","BC","6.1","0","-0.5","13.2","0","-0.2","0","3.2","0","320.0","66.6","0","68.0","0.0","16","",,NA,"357.3","0.0","1057050"
"ADDENBROKE ISLAND","51.604","-127.864","BC","7.1","0","-0.8","17.0","0","0.0","0","0.0","0","0.0","275.0","0","116.0","0.0","14","","",NA,"325.9","0.0","1060080"
