Environment Canada
Monthly Values for May - 2007

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"CAPE SCOTT","50.782","-128.427","BC","9.1","3","-0.5","13.5","3","4.5","3","0.0","3",NA,"141.8","3",NA,"0.0","15","","",NA,"250.5","0.0","1031353"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"0.2","0","333.0","60.7","0","40.0","0.0","7","","",NA,"","","1031402"
"CONUMA RIVER HATCHERY","49.800","-126.418","BC","",,NA,"",,"",,"0.0","1",NA,"111.6","1",NA,"0.0","11","","",NA,"","","1031844"
"ESTEVAN POINT CS","49.383","-126.545","BC","",,NA,"",,"4.2","0","",,NA,"50.2","10",NA,"","4","",,NA,"","","1032731"
"LENNARD ISLAND","49.111","-125.923","BC","",,NA,"",,"",,"0.0","0",NA,"97.6","0","64.0","0.0","12","","",NA,"","","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","10.9","0","-0.6","27.0","0","1.0","0","0.0","0",NA,"93.9","0","58.0","0.0","11","","",NA,"218.8","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","10.9","0","-0.6","19.5","0","4.5","0","0.0","0",NA,"121.4","0","72.0","0.0","11","","",NA,"221.1","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","9.3","0","-1.3","19.0","0","2.0","0","0.0","0",NA,"95.6","0","63.0","0.0","12","","",NA,"269.5","0.0","1035940"
"PORT ALICE","50.386","-127.453","BC","10.8","0","-0.5","22.5","0","3.0","0","0.0","0",NA,"91.0","0","62.0","0.0","14","","",NA,"223.1","0.0","1036240"
"QUATSINO","50.533","-127.654","BC","9.5","3","-1.5","17.0","3","1.5","3","0.0","3",NA,"73.6","3",NA,"","12","","",NA,"239.3","0.0","1036570"
"PORT ALBERNI (AUT)","49.317","-124.926","BC","11.9","0",NA,"28.7","0","0.7","0","",,NA,"81.0","0",NA,"","6","",,NA,"189.1","0.0","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","7.9","1",NA,"12.3","1","4.6","0","",,NA,"17.4","4",NA,"","3","",,NA,"302.4","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","8.6","1",NA,"14.4","1","5.1","1","",,NA,"64.0","5",NA,"","9","",,NA,"282.6","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","11.3","9",NA,"23.0","9","0.0","9","0.0","9",NA,"66.5","9",NA,"0.0","9","","",NA,"148.0","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","9.9","0","-0.6","20.5","0","1.3","0","0.0","0",NA,"115.0","0","75.0","0.0","12","","",NA,"250.5","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","9.8","0","-1.1","21.0","0","1.0","0","0.0","0",NA,"105.6","0","64.0","0.0","12","","",NA,"254.6","0.0","1038332"
"BOWEN ISLAND BOWEN BAY","49.366","-123.421","BC","",,NA,"",,"",,"0.0","0",NA,"93.9","0",NA,"0.0","8","","",NA,"","","104090R"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"0.0","0",NA,"85.2","0",NA,"0.0","9","","",NA,"","","104091B"
